Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2015-10-22,1166.51,1171.91,1163.05,1165.97,-2.86,1166.36,1170.34,1165.74,1168.83,3.98,7.43,4671.27,-1.51,4.6,0
2016-12-09,1170.93,1172.1,1156.55,1158.9,-7.07,1166.51,1171.91,1163.05,1165.97,5.4,-2.86,4667.44,-5.94,8.86,1
2015-07-06,1173.45,1174.62,1163.18,1170.24,11.34,1170.93,1172.1,1156.55,1158.9,1.17,-7.07,4658.48,-13.2,15.55,1
2016-02-05,1153.52,1174.79,1145.53,1173.45,3.21,1173.45,1174.62,1163.18,1170.24,1.17,11.34,4681.49,-4.38,11.44,0
2015-03-09,1170.72,1175.05,1165.67,1166.98,-6.47,1153.52,1174.79,1145.53,1173.45,21.27,3.21,4647.29,-1.34,29.26,1
2015-03-18,1150.58,1175.14,1146.02,1167.99,1.01,1170.72,1175.05,1165.67,1166.98,4.33,-6.47,4678.42,-8.07,9.38,1
2015-07-01,1173.25,1175.31,1167.87,1169.19,1.2,1150.58,1175.14,1146.02,1167.99,24.56,1.01,4639.73,-7.15,29.12,1
2016-12-06,1170.53,1175.39,1167.11,1170,0.81,1173.25,1175.31,1167.87,1169.19,2.06,1.2,4685.62,-6.12,7.44,1
2016-12-01,1173.53,1176.82,1160.92,1171.61,1.61,1170.53,1175.39,1167.11,1170,4.86,0.81,4683.03,-5.39,8.28,0
2015-03-19,1174.58,1177.58,1159.66,1171.35,-0.26,1173.53,1176.82,1160.92,1171.61,3.29,1.61,4682.88,-5.21,15.9,1
2015-06-08,1170.63,1177.86,1169.95,1174.09,2.74,1174.58,1177.58,1159.66,1171.35,3,-0.26,4683.17,-6.23,17.92,1
2016-12-02,1172.51,1178.03,1166.97,1175.78,1.69,1170.63,1177.86,1169.95,1174.09,7.23,2.74,4692.53,-3.77,7.91,0
2015-06-25,1175.51,1178.3,1172.12,1173.29,-2.49,1172.51,1178.03,1166.97,1175.78,5.52,1.69,4693.29,-2.25,11.06,0
2015-10-19,1176.9,1178.3,1168.85,1171.07,-2.22,1175.51,1178.3,1172.12,1173.29,2.79,-2.49,4699.22,-5.01,6.18,0
2016-12-08,1175.05,1178.68,1169.33,1170.57,-0.5,1176.9,1178.3,1168.85,1171.07,1.4,-2.22,4695.12,-7.23,9.45,1
2015-06-05,1177.89,1178.84,1163.05,1171.2,0.63,1175.05,1178.68,1169.33,1170.57,3.63,-0.5,4693.63,-8.11,9.35,1
