Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
28.03.2023,1958.005,1975.148,1949.028,1971.835,4.077,1380,1972.975,1976.368,1954.125,1967.758,1380,-5.227,7871.226,-8.61,22.243,0
31.05.2023,1958.404,1974.628,1953.498,1966.245,-5.59,1380,1958.005,1975.148,1949.028,1971.835,1380,4.077,7854.016,-3.313,26.12,0
24.02.2022,1910.643,1974.398,1877.938,1906.398,-59.847,1380,1958.404,1974.628,1953.498,1966.245,1380,-5.59,7852.775,-8.383,21.13,1
28.08.2020,1927.758,1973.718,1923.288,1964.428,58.03,1260,1910.643,1974.398,1877.938,1906.398,1380,-59.847,7669.377,-68,96.46,0
21.07.2023,1972.155,1973.705,1956.678,1961.428,-3,1260,1927.758,1973.718,1923.288,1964.428,1260,58.03,7789.192,-9.29,50.43,0
16.09.2020,1953.835,1973.468,1949.798,1959.698,-1.73,1380,1972.155,1973.705,1956.678,1961.428,1260,-3,7863.966,-12.277,17.027,0
02.09.2020,1972.448,1973.118,1932.428,1944.568,-15.13,1380,1953.835,1973.468,1949.798,1959.698,1380,-1.73,7836.799,-13.77,23.67,1
09.06.2023,1965.225,1972.928,1956.475,1960.798,16.23,1260,1972.448,1973.118,1932.428,1944.568,1380,-15.13,7822.562,-28.55,40.69,1
29.03.2023,1971.865,1972.735,1958.575,1963.145,2.347,1380,1965.225,1972.928,1956.475,1960.798,1260,16.23,7855.426,-12.13,16.453,0
02.04.2023,1972.298,1972.298,1956.794,1956.995,-6.15,120,1971.865,1972.735,1958.575,1963.145,1380,2.347,7866.32,-9.59,14.16,1
31.07.2023,1957.865,1972.295,1950.655,1963.815,6.82,1380,1972.298,1972.298,1956.794,1956.995,120,-6.15,7858.385,-15.303,15.504,0
15.09.2020,1957.098,1972.028,1948.278,1953.835,-9.98,1380,1957.865,1972.295,1950.655,1963.815,1380,6.82,7844.63,-8.48,21.64,0
